name,y_pred,y_obs,y
michael_fitzgerald,0.0063694267083878285,,0
rebecca_wilson,0.006369406746746699,,0
tiffany_estrada,0.006152748009676861,,0
shannon_todd,0.0061351297807308285,,1
diana_alexander,0.005917159763313609,,0
darren_cox,0.005917159763313609,,0
james_smith,0.005737754070601154,,0
beverly_tran,0.005704925606927729,,0
william_hays,0.005674097540656159,,0
kimberly_lam,0.005649712869558208,,0
tracy_morrison,0.0055632823365785785,,0
jennifer_nguyen,0.00546448087431694,,0
brittany_phillips,0.005464480874281572,,0
melissa_stewart,0.005464480874190135,,0
arthur_scott,0.005464480515418941,,0
andrea_moss,0.005464471784999542,,0
jose_gray,0.00546444718424416,,0
amanda_potts,0.005464180048510992,,0
sean_webster,0.005184889645254686,,0
brandon_burgess,0.005060086272943139,,0
alison_walker,0.004784688578975861,,0
cesar_elliott,0.004784662816409309,,0
brian_smith,0.00478150383736486,,0
sharon_ward,0.0046396299080326935,,1
patrick_riggs,0.004149377593359232,,0
matthew_moore,0.0039291394609074146,,0
justin_knight,0.0039018917011223726,,0
jose_benitez,0.003886782746929236,,0
yvonne_friedman,0.003775989575041239,,0
janet_young,0.0035897245211405117,,0
matthew_aguirre,0.0034858678416618072,,0
renee_mcfarland,0.0034856570477209644,,1
joseph_garcia,0.003276539406862244,,0
peter_stewart,0.003236212857676113,,0
john_gordon,0.0032184740212687878,,0
willie_marshall,0.003180176707204493,,0
melissa_hess,0.0029962546183365624,,0
tanya_walters,0.002983657392379919,,0
jeffrey_davis,0.002949852507374632,,0
cynthia_berry,0.002750003658751045,,0
harold_ryan,0.002719854964234673,,1
elizabeth_thompson,0.002660950362992477,,0
stacy_carter,0.0025704578599255244,,0
jeremiah_brown,0.002545749295857275,,0
alexandra_chavez,0.0025208749365412233,,0
tim_morgan,0.00242917188985777,,0
heidi_mills,0.0023979997907289264,,0
elizabeth_ramirez,0.00235570483887112,,0
cameron_daniel,0.0022138415686442825,,1
elizabeth_leon,0.0021691973969631237,,0
jacob_johnson,0.0021653453982657844,,0
