name,year_of_study,participation,pe_percent,finals_percent,midterms_percent,afast,level_min_max,exp_min_max,t01_exp,t02_exp,t03_exp,t04_exp,t05_exp,t06_exp,t07_exp,t08_exp,t09_exp,t10_exp,num_videos,avg_videos_completion,confessed_assignments,num_confessed_assignments,batch_1821,batch_1935,batch_2023,major_-,major_Business Analytics,major_Chemistry,major_Computational Biology,major_Data Science and Analytics,major_Faculty of Arts & Social Sci,major_Faculty of Engineering,major_Faculty of Law,major_Faculty of Science,major_Life Sciences,major_Math/Applied Math,major_NUS Business School,major_Pharmacy,major_Physics,major_Quantitative Finance,major_School of Computing,major_School of Design & Environment,major_Statistics,major_Yong Loo Lin School (Medicine)
shawn_smith_dds,1,3.5,0.9,0.59,,0,0.84,0.7720622387366466,240,240,260,250,250,250,250,250,250,250,28,0.7140000000000001,[''],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jessica_torres,1,3.0,0.9333333333333332,0.86,,0,1.08,1.07355369768282,260,240,200,200,225,200,250,250,250,200,52,0.077,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kimberly_maynard,1,3.0,0.6666666666666667,0.55,,0,0.84,0.7704624038808897,220,240,240,250,225,250,250,275,0,250,5,0.716,[''],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
john_mcbride,1,1.0,0.8,0.54,,0,0.32,0.20370800433503639,0,0,240,250,250,250,250,0,0,0,59,0.146,"['circle_manipulation', 'curve_introduction', 'diagnostics', 'cyclic_runes', 'advanced_spells', 'rogue_train', 'ippt', 'kochize', 'curve_manipulation']",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
aaron_christian,2,3.0,0.36666666666666664,0.39,,0,0.48,0.3494994065128761,0,260,260,250,275,250,250,225,250,250,26,0.45799999999999996,"['dragonize', 'advanced_spells', 'curve_manipulation', 'kochize']",4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
daniel_leon,1,2.5,0.5666666666666667,0.32,,0,0.84,0.7923440161015637,260,200,220,200,250,250,225,0,250,225,2,0.15,[''],0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jerry_bradley_md,1,4.5,0.7,0.36,,0,0.88,0.8039557206997987,260,260,260,250,250,250,275,250,250,250,28,0.47700000000000004,"['rogue_train', 'ippt']",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
betty_floyd,1,3.5,0.7333333333333333,0.53,,0,0.84,0.7487356143881921,240,240,200,250,250,225,250,250,250,225,65,0.795,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
erica_thomas,2,3.5,0.7,0.34,,0,0.8,0.7268540021675182,280,260,260,275,225,250,250,225,225,250,40,0.873,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
william_moreno,1,3.5,0.3,0.11,,0,0.84,0.7552381689632038,240,260,240,275,250,250,275,225,250,275,54,0.7490000000000001,['rogue_train'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
elizabeth_malone,1,3.0,0.4666666666666666,0.22,,1,0.84,0.7485291840842235,240,240,240,250,275,250,250,250,250,250,21,0.935,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jessica_bradley,1,3.5,0.6,0.51,,0,0.84,0.7483743613562471,240,260,240,250,250,250,275,250,250,250,40,0.6859999999999999,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
shannon_lester,1,3.5,0.43333333333333335,0.51,,0,1.0,0.9706481911544614,260,260,260,275,275,250,250,250,250,250,6,0.428,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
misty_sanchez_md,1,3.5,0.6666666666666667,0.54,,0,1.04,1.0154435671156525,260,260,280,250,250,275,250,250,250,250,17,0.726,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dustin_joseph,1,2.5,0.4,0.16,,1,0.8,0.703888630851009,260,220,220,200,0,250,225,225,225,275,5,0.39,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wendy_lynch,1,3.5,0.8666666666666667,0.45,,1,0.84,0.7966274449089126,260,260,260,250,225,225,250,225,250,250,2,0.005,[''],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
charles_white,1,2.5,0.36666666666666664,0.21,,1,0.84,0.7497677659080353,240,220,240,250,0,250,250,250,250,0,81,0.845,[''],0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christine_robertson,2,0.0,0.0,0.36,,0,0.04,0.028397068689683645,220,0,0,0,0,0,0,0,0,0,42,0.83,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
scott_stanley,1,4.0,0.6666666666666667,0.37,,0,0.84,0.7551349538112195,260,260,260,250,300,250,250,250,250,250,69,0.105,['rogue_train'],1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rachel_robertson,2,0.5,0.2,0.16,,1,0.36,0.24607782422459618,0,240,200,225,0,0,0,0,0,0,6,0.272,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
joseph_krause,1,3.5,0.36666666666666664,0.47,,0,0.84,0.7528126128915725,240,260,260,250,250,250,250,250,250,250,10,0.505,['rogue_train'],1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
michael_fitzgerald,1,1.0,0.4666666666666666,0.27,,1,0.84,0.7596764204985292,260,220,240,225,0,250,0,0,0,250,24,0.511,[''],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
robert_calderon,1,3.0,0.36666666666666664,0.12,,1,0.76,0.6398436290447438,200,240,240,225,250,225,225,225,225,225,46,0.9390000000000001,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lindsay_archer,1,4.0,0.7666666666666667,0.54,,0,0.88,0.8271791298962687,200,260,260,250,250,275,250,250,275,275,28,0.22899999999999998,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
jason_simmons,2,2.5,0.2333333333333333,0.33,,0,0.76,0.6602286215616453,0,240,220,250,250,200,250,275,275,225,3,0.25,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alexis_robinson,1,3.5,0.6333333333333333,0.51,,0,0.92,0.8722841513134129,220,240,240,225,225,225,225,225,225,225,113,0.177,"['rogue_train', 'lazy_susan']",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
michelle_watson,1,3.0,0.5,0.32,,0,0.8,0.7183387521288125,240,260,260,250,250,250,250,250,275,0,33,0.695,['diagnostics'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
terry_wells,5,3.0,0.4666666666666666,0.34,,1,0.84,0.7701527584249368,220,240,260,250,250,250,250,250,250,250,1,0.99,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kimberly_anderson,10,3.5,0.7333333333333333,0.45,,0,0.88,0.831565773855602,260,260,260,250,250,250,250,250,275,250,1,0.18,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jimmy_bennett,4,2.0,0.5,0.52,,0,0.04,0.0376348247922795,220,240,0,0,0,225,225,225,200,0,72,0.725,"['circle_manipulation', 'curve_introduction', 'cheryl_s_birthday', 'lazy_susan', 'ippt', '3d_runes', 'curve_manipulation']",7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mrs._elizabeth_mcdonald_md,1,3.0,0.8,0.29,,0,0.84,0.7498193734840275,220,240,260,225,225,250,240,250,250,250,34,0.28800000000000003,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
patrick_kirby,1,3.0,0.3,0.4,,1,0.84,0.7769133508799092,240,260,200,275,250,250,200,250,250,250,0,0.0,[''],0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nicholas_bates,1,4.0,0.8,0.55,,0,0.8,0.7429555658770708,260,260,260,250,250,225,250,250,250,250,30,0.8440000000000001,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ryan_solomon,1,3.5,0.26666666666666666,0.23,,0,0.88,0.8237214223047944,240,240,240,225,225,225,225,225,225,225,43,0.797,['rogue_train'],1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mark_richardson,1,1.0,0.6333333333333333,0.67,,0,0.84,0.7678820250812819,240,220,220,250,225,0,0,0,0,0,41,0.27899999999999997,[''],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nicole_ross,2,3.5,0.3,0.23,,1,0.84,0.7772229963358621,260,220,260,225,225,275,250,250,250,250,8,0.489,"['rogue_train', 'lazy_susan', 'to_infinity_and_beyond', 'cheryl_s_birthday']",4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vincent_adams,1,1.5,0.43333333333333335,0.34,,0,0.8,0.7302084946070083,220,260,260,0,250,0,250,225,0,250,1,0.78,"['circle_manipulation', 'cyclic_runes', 'runic_painting', 'rogue_train', 'kochize']",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jason_ayers,2,2.5,0.36666666666666664,0.32,,1,0.92,0.8884373225989576,0,200,200,250,250,250,250,200,250,250,67,0.384,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
patricia_johnson,2,1.5,0.2333333333333333,0.17,,1,-0.36,-0.1519198018269082,260,260,240,225,225,0,0,0,0,275,11,0.395,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
james_dickson,1,0.5,0.5,,,1,0.32,0.22662176807555348,0,240,240,225,225,0,0,0,0,0,58,0.826,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
melissa_graham,1,3.5,0.6333333333333333,0.43,,0,0.96,0.9105769726995923,260,260,240,250,250,275,275,250,275,250,39,0.6559999999999999,['rogue_train'],1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
robert_rogers,1,1.0,0.03333333333333333,0.09,,0,-0.4,-0.17137585797595087,260,220,220,200,0,250,0,0,0,0,6,0.033,[''],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
zachary_carter,5,3.5,0.7,0.52,,0,0.76,0.6722015791918253,240,240,220,250,250,250,250,250,250,250,19,0.67,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bryan_gomez,1,3.5,0.5,0.31,,0,0.88,0.8010140888682459,220,240,240,250,250,250,250,250,250,250,30,0.92,['kochize'],1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lee_bass,1,3.5,0.33333333333333337,0.15,,1,0.84,0.7584894462507096,260,200,220,200,250,250,225,225,250,225,16,0.687,[''],0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emily_jones,1,3.5,0.9333333333333332,0.92,,0,1.08,1.0614775249006554,260,260,220,250,250,0,250,250,250,250,33,0.9329999999999999,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
devin_mccarty,1,1.5,0.6333333333333333,0.39,,0,0.84,0.7750038705681994,240,260,0,0,0,225,250,0,225,275,14,0.522,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rachel_mayo_dds,5,2.0,0.06666666666666667,0.28,,0,0.0,0.004605976157299891,240,260,240,0,250,0,225,225,0,225,35,0.077,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grace_roberts,1,3.5,0.6333333333333333,0.25,,0,0.84,0.7780487175517365,220,260,240,225,250,250,250,250,275,250,33,0.7809999999999999,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
amanda_stafford,1,2.5,0.16666666666666669,0.37,,1,0.84,0.7490452598441452,260,260,260,275,250,0,0,250,200,275,38,0.779,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sarah_wilkins,2,4.0,0.6,0.39,,0,0.84,0.7921891933735873,240,280,280,275,225,250,250,250,250,250,36,0.904,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lisa_russell,1,3.0,0.7,0.46,,0,0.92,0.8750709604169892,260,260,260,200,250,275,250,275,275,0,32,0.643,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
james_black,1,5.0,0.3,0.43,,0,0.92,0.8972622180936162,240,260,260,275,275,275,275,275,275,275,113,0.18899999999999997,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dustin_franklin,1,3.5,0.7,0.29,,0,0.84,0.7946147494452186,260,240,280,275,275,275,250,275,300,275,17,0.429,[''],0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taylor_johnson,1,3.5,0.7,0.48,,0,0.88,0.812006502554575,220,280,280,250,275,275,275,275,275,225,2,0.08,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oscar_monroe,1,3.5,0.36666666666666664,0.39,,0,0.84,0.7794937296795169,260,240,260,275,275,275,275,250,250,275,47,0.684,"['rogue_train', 'circle_manipulation']",2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adrian_king,1,1.0,0.0,0.84,,0,0.6,0.4769701192135005,240,240,280,250,0,225,250,0,0,0,21,0.073,[''],0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
james_hernandez,1,3.0,,0.4,,1,0.96,0.916460236362698,240,240,240,250,225,250,250,225,250,250,39,0.5329999999999999,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
katherine_moore,1,3.5,0.4,0.76,,0,0.88,0.8443128451256644,260,260,240,275,250,250,275,275,250,275,68,0.78,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
paul_shepard,1,4.0,0.43333333333333335,0.32,,1,0.92,0.8688780512979305,260,260,260,275,250,275,275,275,275,275,11,0.605,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jennifer_summers,1,4.5,0.7333333333333333,0.43,,0,0.92,0.8716648604015069,260,260,260,250,250,225,250,250,250,250,71,0.536,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
melissa_barnes,4,2.0,,,,1,0.88,0.8046266191876967,0,240,240,225,225,225,0,225,0,250,6,0.265,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nicole_erickson,1,0.5,0.6,0.28,,0,0.36,0.24040099086545905,0,240,220,0,0,0,0,0,0,0,19,0.41200000000000003,[''],0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lisa_garcia,1,2.5,0.7,0.24,,0,0.88,0.8003431903803478,280,240,220,225,225,200,200,200,0,200,39,0.828,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
john_larson,1,3.5,0.5666666666666667,0.62,,0,0.84,0.7679852402332662,260,260,260,0,275,250,275,275,275,275,31,0.89,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
matthew_cohen,2,1.5,0.2,0.34,,1,0.8,0.7095138566341539,260,240,260,200,0,225,225,225,0,0,65,0.773,"['rogue_train', 'curve_manipulation']",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
connie_anderson,1,2.5,0.8,0.34,,0,0.84,0.7842416266707952,260,220,220,200,225,225,250,225,225,0,43,0.11699999999999999,"['funky_merge_spell', 'advanced_spells', 'cyclic_runes', 'to_infinity_and_beyond']",4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jose_rodriguez,2,4.5,0.26666666666666666,0.25,,1,0.52,0.3830443309077773,260,260,260,250,275,275,250,275,275,275,6,0.392,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cody_wright,1,3.0,0.33333333333333337,0.46,,1,0.84,0.7672627341693761,0,260,240,275,250,275,275,250,250,200,1,0.89,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
denise_burnett,1,4.5,0.8,0.61,,0,0.88,0.8125225783144966,260,260,280,275,275,275,275,275,275,250,1,0.69,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jessica_huffman,1,0.0,0.2,,,1,0.36,0.2347757650823141,0,0,0,0,0,0,0,0,0,0,0,0.0,[''],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
regina_austin,1,2.5,0.26666666666666666,0.39,,0,0.76,0.6429400836042731,220,220,220,225,225,225,225,225,225,0,34,0.537,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
misty_ramsey,1,2.0,0.33333333333333337,0.12,,0,0.72,0.6018604531145172,0,240,240,225,225,225,225,225,225,0,0,0.0,[''],0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mark_bell,4,3.0,0.4,0.4,,0,0.72,0.6154848531764463,240,220,220,200,225,250,225,250,275,225,27,0.873,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
john_estrada,3,1.0,0.2333333333333333,0.1,,0,0.32,0.2011276255354286,0,240,240,225,250,0,250,0,0,0,57,0.622,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sheila_johnson,1,4.0,0.6,0.56,,0,0.96,0.9418511637508387,220,260,260,250,275,275,250,250,250,275,113,0.9490000000000001,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nicholas_moody,1,3.0,0.43333333333333335,0.2,,0,0.72,0.6371084275171596,220,240,220,225,275,225,225,250,275,225,38,0.838,"['rogue_train', 'cyclic_runes', 'curve_manipulation']",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
laura_vasquez,4,5.0,0.6666666666666667,0.65,,0,1.08,1.0650384476441142,260,260,260,250,250,250,275,250,275,250,35,0.502,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
elizabeth_nelson_dvm,1,2.5,0.5333333333333333,0.43,,0,0.84,0.7488904371161687,0,260,240,0,250,250,250,250,250,250,62,0.455,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
julia_hernandez,1,3.5,0.4666666666666666,0.28,,0,0.84,0.7486323992362078,260,260,260,250,250,250,250,250,250,275,25,0.879,[''],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
caroline_branch,1,1.0,0.16666666666666669,,,1,0.72,0.6003122258347525,240,220,220,0,0,225,0,0,0,275,47,0.821,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
stephanie_davis,2,3.5,0.6666666666666667,0.61,,0,0.88,0.8133999071063632,260,220,260,250,275,250,250,275,275,250,26,0.835,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
david_klein,4,3.0,0.5333333333333333,0.38,,0,0.52,0.3786060793724519,220,260,220,225,250,200,200,200,250,200,16,0.6990000000000001,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jody_clark,1,3.5,0.6333333333333333,0.41,,0,0.88,0.8012205191722145,260,240,240,225,225,225,225,225,0,225,28,0.685,['lazy_susan'],1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donald_harper,1,3.5,0.6666666666666667,0.56,,0,0.84,0.7587474841306704,240,240,240,250,225,250,275,250,250,250,31,0.49,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mr._seth_cook,4,3.5,0.7666666666666667,0.37,,0,0.84,0.7750554781441915,260,260,260,250,250,275,250,250,225,250,2,0.57,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
raymond_stevenson,1,4.0,0.8333333333333333,0.68,,0,1.0,0.9987227124941942,260,260,240,250,275,275,275,275,250,250,63,0.7659999999999999,[''],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
danny_simpson,2,0.5,0.9,0.65,,0,0.84,0.7966274449089126,260,260,0,0,0,0,0,0,0,0,16,0.218,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
